entry_identifier,start_date,end_date,source_ip,dest_ip,tool,user_context,command,description,output,comments,operator_name,extra_fields,oplog_id,tags
2848,2024-02-17 18:25:48,2024-02-17 18:25:48.586845,112.130.185.251,64.69.133.141,OST,seanlopez@green-bullock.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Deborah Hunter,,,
2849,2024-06-03 08:51:40,2024-06-03 08:51:40.877304,206.174.99.211,84.240.138.150,OST,seanlopez@green-bullock.com,sleep 99,PID: 27092,Success,Sleeping a beacon,Christy Green,,,
2850,2024-04-17 18:09:43,2024-04-17 18:09:43.583935,42.118.146.148,18.176.66.97,OST,sarahallen@combs-anderson.com,download /form/with/player.mp3,PID: 16216,Success,Downloading a file,Christy Green,,,
2851,2024-03-18 03:38:07,2024-03-18 03:38:07.495202,42.118.146.148,157.2.65.239,Poseidon,johngross@jones.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Failed,Conducting container discovery,Richard Mcbride,,,
2852,2024-06-24 04:14:24,2024-06-24 04:14:24.028109,206.0.98.240,84.240.138.150,OST,fwilliams@mays.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Deborah Hunter,,,
2853,2023-12-20 16:30:27,2024-01-07 05:35:57,163.193.224.188,157.2.65.239,Cobalt Strike,sfranklin@gordon.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
2854,2024-03-03 05:34:48,2024-03-03 05:34:48.732932,206.174.99.211,174.200.177.205,Cobalt Strike,jschmitt@martinez.com,shinject 13530 x64 /edge.bin,PID 20047,Success,Attempting process injection,Christy Green,,,
2855,2024-05-07 18:31:58,2024-05-07 18:31:58.275727,206.0.98.240,35.79.43.142,Poseidon,jschmitt@martinez.com,sleep 38,"PID 16959, Callback 63",Success,Sleeping a beacon,Deborah Hunter,,,
2856,2024-03-18 23:49:17,2024-03-18 23:49:17.306205,42.118.146.148,18.176.66.97,Cobalt Strike,sarahallen@combs-anderson.com,upload /western/board/job.csv,PID 5354,Success,Attempting a file upload,Christy Green,,,
2857,2024-04-06 06:49:13,2024-04-06 06:49:13.101510,206.174.99.211,84.240.138.150,OST,sarahallen@combs-anderson.com,download /form/with/player.mp3,PID: 16216,Success,Downloading a file,Deborah Hunter,,,
2858,2023-12-28 20:05:41,2024-01-25 06:33:38,112.130.185.251,126.91.142.205,OST,seanlopez@green-bullock.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Success,Navigating to a directory,Richard Mcbride,,,
2859,2024-05-06 03:16:05,2024-05-06 03:16:05.791448,206.174.99.211,174.200.177.205,OST,seanlopez@green-bullock.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Christy Green,,,
2860,2023-12-20 14:33:17,2023-12-22 08:01:39,206.0.98.240,18.176.66.97,Poseidon,seanlopez@green-bullock.com,getenv,"PID 25658, Callback 42",Success,Attempting to get environment variables,Richard Mcbride,,,
2861,2023-12-22 13:26:28,2024-02-15 05:26:29,206.0.98.240,35.79.43.142,Cobalt Strike,seanlopez@green-bullock.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Richard Mcbride,,,
2862,2024-06-23 01:28:56,2024-06-23 01:28:56.854208,112.130.185.251,174.200.177.205,Poseidon,jschmitt@martinez.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Deborah Hunter,,,
2863,2024-05-14 01:02:01,2024-05-14 01:02:01.604311,206.0.98.240,157.2.65.239,Cobalt Strike,seanlopez@green-bullock.com,execute-assembly /already/no.exe,PID 27839,Success,Running a local .NET executable,Deborah Hunter,,,
2864,2023-12-17 09:34:22,2024-01-25 02:15:24,163.193.224.188,35.79.43.142,OST,johngross@jones.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Christy Green,,,
2865,2024-03-07 03:47:36,2024-03-07 03:47:36.203033,42.118.146.148,84.240.138.150,Cobalt Strike,hendersonjohn@dalton-lam.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Christy Green,,,
2866,2024-06-15 08:30:22,2024-06-15 08:30:22.884604,112.130.185.251,126.91.142.205,Poseidon,sfranklin@gordon.com,getenv,"PID 25658, Callback 42",Success,Attempting to get environment variables,Richard Mcbride,,,
2867,2024-03-04 21:58:46,2024-03-04 21:58:46.752223,42.118.146.148,174.200.177.205,Cobalt Strike,hendersonjohn@dalton-lam.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Richard Mcbride,,,
2868,2024-01-29 03:48:24,2024-02-14 14:03:15,155.225.136.72,157.2.65.239,OST,fwilliams@mays.com,ls,PID: 13267,Success,Listing files and directories,Richard Mcbride,,,
2869,2024-01-11 18:07:02,2024-02-13 07:34:17,206.0.98.240,174.200.177.205,OST,sarahallen@combs-anderson.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Deborah Hunter,,,
2870,2024-05-04 22:50:12,2024-05-04 22:50:12.750771,112.130.185.251,157.2.65.239,Cobalt Strike,seanlopez@green-bullock.com,pwd,PID 29413,Success,Obtaining current working directory,Christy Green,,,
2871,2024-03-26 06:02:17,2024-03-26 06:02:17.408648,63.79.24.226,35.79.43.142,Cobalt Strike,johngross@jones.com,pwd,PID 29413,Failed,Obtaining current working directory,Deborah Hunter,,,
2872,2024-01-30 09:32:15,2024-02-02 15:42:15,42.118.146.148,157.2.65.239,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Failed,Conducting container discovery,Christy Green,,,
2873,2024-02-22 16:44:24,2024-02-22 16:44:24.764908,163.193.224.188,174.200.177.205,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Failed,Conducting container discovery,Richard Mcbride,,,
2874,2024-01-13 16:35:55,2024-01-30 23:51:03,63.79.24.226,64.69.133.141,OST,johngross@jones.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Richard Mcbride,,,
2875,2024-03-08 04:21:03,2024-03-08 04:21:03.570060,155.225.136.72,64.69.133.141,OST,johngross@jones.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Christy Green,,,
2876,2024-04-14 14:01:04,2024-04-14 14:01:04.088843,163.193.224.188,64.69.133.141,OST,fwilliams@mays.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Christy Green,,,
2877,2024-03-24 03:38:30,2024-03-24 03:38:30.134452,112.130.185.251,18.176.66.97,OST,fwilliams@mays.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Deborah Hunter,,,
2878,2024-04-12 17:11:35,2024-04-12 17:11:35.020368,163.193.224.188,84.240.138.150,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Success,Conducting container discovery,Deborah Hunter,,,
2879,2023-12-21 11:57:09,2023-12-31 04:59:42,163.193.224.188,35.79.43.142,Poseidon,johngross@jones.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Christy Green,,,
2880,2024-06-22 17:07:47,2024-06-22 17:07:47.409871,155.225.136.72,35.79.43.142,Cobalt Strike,johngross@jones.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Christy Green,,,
2881,2024-04-16 22:42:47,2024-04-16 22:42:47.943451,112.130.185.251,126.91.142.205,Poseidon,sarahallen@combs-anderson.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Failed,Conducting container discovery,Richard Mcbride,,,
2882,2024-01-08 15:27:01,2024-02-02 12:55:05,112.130.185.251,126.91.142.205,Cobalt Strike,hendersonjohn@dalton-lam.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Deborah Hunter,,,
2883,2024-04-20 10:20:23,2024-04-20 10:20:23.905455,155.225.136.72,157.2.65.239,Cobalt Strike,sarahallen@combs-anderson.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Christy Green,,,
2884,2024-03-07 19:19:29,2024-03-07 19:19:29.119280,206.174.99.211,35.79.43.142,OST,jschmitt@martinez.com,sleep 99,PID: 27092,Success,Sleeping a beacon,Richard Mcbride,,,
2885,2024-05-13 19:56:10,2024-05-13 19:56:10.293000,206.0.98.240,18.176.66.97,OST,sarahallen@combs-anderson.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Christy Green,,,
2886,2024-05-25 11:20:42,2024-05-25 11:20:42.143331,155.225.136.72,64.69.133.141,OST,johngross@jones.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Christy Green,,,
2887,2024-03-04 23:32:36,2024-03-04 23:32:36.135278,163.193.224.188,126.91.142.205,OST,fwilliams@mays.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Richard Mcbride,,,
2888,2023-12-25 19:18:17,2024-01-20 10:21:34,206.0.98.240,126.91.142.205,OST,sfranklin@gordon.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Christy Green,,,
2889,2024-01-15 14:40:14,2024-01-18 19:22:48,112.130.185.251,35.79.43.142,Poseidon,sarahallen@combs-anderson.com,getenv,"PID 25658, Callback 42",Failed,Attempting to get environment variables,Deborah Hunter,,,
2890,2024-02-01 01:54:22,2024-02-07 18:26:38,112.130.185.251,18.176.66.97,OST,hendersonjohn@dalton-lam.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Deborah Hunter,,,
2891,2023-12-27 23:09:59,2024-02-08 08:42:42,163.193.224.188,84.240.138.150,Cobalt Strike,sfranklin@gordon.com,sleep 59,PID 14288,Success,Sleeping a beacon,Christy Green,,,
2892,2024-01-02 09:11:43,2024-01-26 07:16:56,112.130.185.251,18.176.66.97,Poseidon,seanlopez@green-bullock.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Richard Mcbride,,,
2893,2024-01-04 18:38:54,2024-01-08 14:41:00,155.225.136.72,174.200.177.205,OST,fwilliams@mays.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Deborah Hunter,,,
2894,2024-05-16 05:48:36,2024-05-16 05:48:36.471802,63.79.24.226,64.69.133.141,Cobalt Strike,jschmitt@martinez.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Deborah Hunter,,,
2895,2024-05-03 20:50:43,2024-05-03 20:50:43.209104,206.174.99.211,126.91.142.205,OST,johngross@jones.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Richard Mcbride,,,
2896,2024-03-04 13:18:17,2024-03-04 13:18:17.395042,155.225.136.72,174.200.177.205,Poseidon,sarahallen@combs-anderson.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Deborah Hunter,,,
2897,2024-04-12 06:19:51,2024-04-12 06:19:51.481321,42.118.146.148,84.240.138.150,Cobalt Strike,johngross@jones.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Richard Mcbride,,,
2898,2024-02-18 23:06:53,2024-02-18 23:06:53.694209,206.0.98.240,84.240.138.150,OST,hendersonjohn@dalton-lam.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Deborah Hunter,,,
2899,2024-03-29 19:19:17,2024-03-29 19:19:17.430171,63.79.24.226,126.91.142.205,Cobalt Strike,hendersonjohn@dalton-lam.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Christy Green,,,
2900,2024-03-25 12:34:05,2024-03-25 12:34:05.276615,63.79.24.226,18.176.66.97,Cobalt Strike,johngross@jones.com,pwd,PID 29413,Success,Obtaining current working directory,Richard Mcbride,,,
2901,2024-02-01 06:38:45,2024-02-15 05:05:15,155.225.136.72,174.200.177.205,Poseidon,jschmitt@martinez.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Deborah Hunter,,,
2902,2024-04-30 15:16:45,2024-04-30 15:16:45.930810,155.225.136.72,64.69.133.141,Cobalt Strike,jschmitt@martinez.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Deborah Hunter,,,
2903,2024-01-19 22:45:21,2024-01-26 12:48:35,63.79.24.226,18.176.66.97,Cobalt Strike,sfranklin@gordon.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
2904,2024-06-23 04:12:05,2024-06-23 04:12:05.974663,42.118.146.148,35.79.43.142,OST,jschmitt@martinez.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Deborah Hunter,,,
2905,2024-03-24 11:17:04,2024-03-24 11:17:04.796236,163.193.224.188,157.2.65.239,OST,sfranklin@gordon.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Richard Mcbride,,,
2906,2024-05-30 04:51:52,2024-05-30 04:51:52.852078,206.0.98.240,84.240.138.150,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Christy Green,,,
2907,2024-04-09 13:09:24,2024-04-09 13:09:24.806588,155.225.136.72,157.2.65.239,Poseidon,jschmitt@martinez.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Christy Green,,,
2908,2024-06-25 21:54:33,2024-06-25 21:54:33.296689,206.0.98.240,18.176.66.97,OST,hendersonjohn@dalton-lam.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Christy Green,,,
2909,2024-06-10 13:16:50,2024-06-10 13:16:50.637322,206.0.98.240,174.200.177.205,OST,johngross@jones.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Christy Green,,,
2910,2024-05-07 01:16:37,2024-05-07 01:16:37.202982,63.79.24.226,18.176.66.97,Poseidon,hendersonjohn@dalton-lam.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Failed,Attempting to start a SOCKS proxy,Deborah Hunter,,,
2911,2024-03-15 23:18:07,2024-03-15 23:18:07.579534,63.79.24.226,157.2.65.239,Cobalt Strike,fwilliams@mays.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Christy Green,,,
2912,2024-03-08 18:36:39,2024-03-08 18:36:39.221872,112.130.185.251,64.69.133.141,OST,sarahallen@combs-anderson.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Deborah Hunter,,,
2913,2024-04-09 07:13:34,2024-04-09 07:13:34.554766,206.0.98.240,157.2.65.239,Poseidon,hendersonjohn@dalton-lam.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Richard Mcbride,,,
2914,2023-12-25 16:34:15,2024-02-03 04:14:55,155.225.136.72,64.69.133.141,Poseidon,sfranklin@gordon.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Deborah Hunter,,,
2915,2024-03-09 11:59:50,2024-03-09 11:59:50.852509,163.193.224.188,126.91.142.205,Cobalt Strike,seanlopez@green-bullock.com,sleep 59,PID 14288,Success,Sleeping a beacon,Deborah Hunter,,,
2916,2024-03-10 13:53:01,2024-03-10 13:53:01.389932,112.130.185.251,84.240.138.150,Poseidon,fwilliams@mays.com,pty curl,"PID 10472, Callback 96",Failed,Attempting to use cURL,Christy Green,,,
2917,2024-04-16 10:56:39,2024-04-16 10:56:39.629729,206.174.99.211,84.240.138.150,OST,sfranklin@gordon.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Richard Mcbride,,,
2918,2023-12-21 23:18:13,2023-12-29 15:04:07,155.225.136.72,18.176.66.97,OST,jschmitt@martinez.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Deborah Hunter,,,
2919,2024-05-01 23:03:37,2024-05-01 23:03:37.506402,155.225.136.72,18.176.66.97,OST,hendersonjohn@dalton-lam.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Christy Green,,,
2920,2024-01-31 13:48:54,2024-02-10 04:52:34,163.193.224.188,157.2.65.239,OST,sarahallen@combs-anderson.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Success,Navigating to a directory,Richard Mcbride,,,
2921,2024-03-30 19:23:40,2024-03-30 19:23:40.483321,163.193.224.188,84.240.138.150,OST,seanlopez@green-bullock.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Christy Green,,,
2922,2024-02-09 20:06:04,2024-02-16 01:05:29,63.79.24.226,126.91.142.205,Poseidon,johngross@jones.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Richard Mcbride,,,
2923,2024-03-25 11:38:43,2024-03-25 11:38:43.843138,112.130.185.251,174.200.177.205,Cobalt Strike,sarahallen@combs-anderson.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Deborah Hunter,,,
2924,2023-12-16 00:38:54,2024-02-08 16:44:49,163.193.224.188,64.69.133.141,Cobalt Strike,seanlopez@green-bullock.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Deborah Hunter,,,
2925,2023-12-29 16:09:07,2024-01-10 16:38:05,112.130.185.251,35.79.43.142,Poseidon,sarahallen@combs-anderson.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Deborah Hunter,,,
2926,2024-01-23 00:34:09,2024-02-06 13:45:18,42.118.146.148,18.176.66.97,Cobalt Strike,sfranklin@gordon.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
2927,2024-06-24 01:09:35,2024-06-24 01:09:35.990601,63.79.24.226,64.69.133.141,OST,seanlopez@green-bullock.com,ls,PID: 13267,Failed,Listing files and directories,Christy Green,,,
2928,2024-05-07 11:40:41,2024-05-07 11:40:41.430223,206.0.98.240,18.176.66.97,OST,hendersonjohn@dalton-lam.com,ls,PID: 13267,Failed,Listing files and directories,Deborah Hunter,,,
2929,2024-05-23 22:12:50,2024-05-23 22:12:50.818095,42.118.146.148,174.200.177.205,Poseidon,jschmitt@martinez.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Christy Green,,,
2930,2024-03-02 06:19:39,2024-03-02 06:19:39.930947,163.193.224.188,84.240.138.150,Cobalt Strike,seanlopez@green-bullock.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Deborah Hunter,,,
2931,2024-04-22 00:00:12,2024-04-22 00:00:12.184762,206.0.98.240,174.200.177.205,OST,hendersonjohn@dalton-lam.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Christy Green,,,
2932,2024-04-11 10:18:45,2024-04-11 10:18:45.754723,206.0.98.240,35.79.43.142,OST,seanlopez@green-bullock.com,sleep 99,PID: 27092,Success,Sleeping a beacon,Deborah Hunter,,,
2933,2023-12-28 11:27:47,2024-02-03 17:49:56,206.0.98.240,84.240.138.150,Cobalt Strike,fwilliams@mays.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
2934,2024-03-01 05:52:07,2024-03-01 05:52:07.827732,206.174.99.211,157.2.65.239,Cobalt Strike,hendersonjohn@dalton-lam.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Deborah Hunter,,,
2935,2024-05-07 08:39:34,2024-05-07 08:39:34.611786,42.118.146.148,174.200.177.205,OST,sarahallen@combs-anderson.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Deborah Hunter,,,
2936,2024-02-26 23:20:47,2024-02-26 23:20:47.383556,206.0.98.240,84.240.138.150,Poseidon,fwilliams@mays.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Christy Green,,,
2937,2024-02-01 19:51:29,2024-02-11 18:24:44,63.79.24.226,174.200.177.205,Cobalt Strike,johngross@jones.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Christy Green,,,
2938,2024-02-16 03:59:01,2024-02-16 04:59:12,163.193.224.188,174.200.177.205,Poseidon,sfranklin@gordon.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Success,Attempting to start a SOCKS proxy,Christy Green,,,
2939,2024-04-10 06:24:00,2024-04-10 06:24:00.891085,63.79.24.226,157.2.65.239,OST,sfranklin@gordon.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Richard Mcbride,,,
2940,2024-03-17 18:12:10,2024-03-17 18:12:10.481655,112.130.185.251,18.176.66.97,Cobalt Strike,sarahallen@combs-anderson.com,pwd,PID 29413,Success,Obtaining current working directory,Christy Green,,,
2941,2024-04-21 11:54:16,2024-04-21 11:54:16.815474,163.193.224.188,174.200.177.205,OST,sfranklin@gordon.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Deborah Hunter,,,
2942,2024-05-30 10:43:25,2024-05-30 10:43:25.918840,42.118.146.148,157.2.65.239,OST,sfranklin@gordon.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Deborah Hunter,,,
2943,2024-03-19 12:06:27,2024-03-19 12:06:27.328555,42.118.146.148,18.176.66.97,OST,johngross@jones.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Richard Mcbride,,,
2944,2024-04-26 04:31:47,2024-04-26 04:31:47.862416,155.225.136.72,64.69.133.141,Poseidon,jschmitt@martinez.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Deborah Hunter,,,
2945,2024-03-25 00:26:20,2024-03-25 00:26:20.349466,112.130.185.251,84.240.138.150,Cobalt Strike,sarahallen@combs-anderson.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Deborah Hunter,,,
2946,2024-03-23 04:03:01,2024-03-23 04:03:01.203433,163.193.224.188,174.200.177.205,Cobalt Strike,sfranklin@gordon.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Richard Mcbride,,,
2947,2024-04-08 15:39:18,2024-04-08 15:39:18.866383,155.225.136.72,64.69.133.141,Poseidon,fwilliams@mays.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Deborah Hunter,,,
2948,2024-04-06 10:41:31,2024-04-06 10:41:31.868270,206.0.98.240,84.240.138.150,OST,sarahallen@combs-anderson.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Deborah Hunter,,,
2949,2023-12-15 18:01:50,2024-01-11 02:37:41,42.118.146.148,18.176.66.97,Poseidon,johngross@jones.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Christy Green,,,
2950,2023-12-20 21:37:53,2024-01-14 04:10:46,63.79.24.226,35.79.43.142,Poseidon,seanlopez@green-bullock.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Richard Mcbride,,,
2951,2024-04-01 16:35:03,2024-04-01 16:35:03.275112,112.130.185.251,157.2.65.239,Poseidon,sfranklin@gordon.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Christy Green,,,
2952,2024-01-30 13:07:15,2024-02-06 23:30:35,206.174.99.211,18.176.66.97,Poseidon,fwilliams@mays.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Failed,Attempting to upload a file,Christy Green,,,
2953,2024-05-15 06:59:58,2024-05-15 06:59:58.737200,155.225.136.72,174.200.177.205,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Failed,Conducting container discovery,Christy Green,,,
2954,2024-03-17 23:12:16,2024-03-17 23:12:16.204256,63.79.24.226,174.200.177.205,Poseidon,hendersonjohn@dalton-lam.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Richard Mcbride,,,
2955,2024-05-22 20:02:48,2024-05-22 20:02:48.905945,206.174.99.211,35.79.43.142,Poseidon,johngross@jones.com,sleep 38,"PID 16959, Callback 63",Success,Sleeping a beacon,Richard Mcbride,,,
2956,2024-02-08 11:44:17,2024-02-11 22:37:18,63.79.24.226,174.200.177.205,OST,sfranklin@gordon.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Christy Green,,,
2957,2024-01-09 23:35:26,2024-01-26 02:15:43,63.79.24.226,18.176.66.97,Poseidon,seanlopez@green-bullock.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Deborah Hunter,,,
2958,2024-02-09 10:52:11,2024-02-14 10:41:30,63.79.24.226,157.2.65.239,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Richard Mcbride,,,
2959,2024-03-22 03:13:25,2024-03-22 03:13:25.511727,206.0.98.240,84.240.138.150,Cobalt Strike,sfranklin@gordon.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Christy Green,,,
2960,2024-04-22 04:48:22,2024-04-22 04:48:22.632651,63.79.24.226,35.79.43.142,OST,fwilliams@mays.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Christy Green,,,
2961,2024-05-28 09:10:12,2024-05-28 09:10:12.474487,163.193.224.188,174.200.177.205,OST,hendersonjohn@dalton-lam.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Christy Green,,,
2962,2023-12-17 09:19:54,2024-01-06 05:20:37,63.79.24.226,157.2.65.239,OST,seanlopez@green-bullock.com,ls,PID: 13267,Failed,Listing files and directories,Christy Green,,,
2963,2024-03-07 12:53:20,2024-03-07 12:53:20.963335,206.174.99.211,84.240.138.150,OST,sarahallen@combs-anderson.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Christy Green,,,
2964,2024-02-27 17:14:36,2024-02-27 17:14:36.178590,155.225.136.72,18.176.66.97,OST,jschmitt@martinez.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Christy Green,,,
2965,2023-12-30 08:06:06,2024-01-15 08:06:51,63.79.24.226,84.240.138.150,OST,sarahallen@combs-anderson.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Richard Mcbride,,,
2966,2024-05-30 11:14:13,2024-05-30 11:14:13.404825,42.118.146.148,64.69.133.141,OST,sarahallen@combs-anderson.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Deborah Hunter,,,
2967,2024-02-12 12:49:39,2024-02-14 18:32:56,206.0.98.240,157.2.65.239,Cobalt Strike,jschmitt@martinez.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
2968,2024-04-22 10:29:06,2024-04-22 10:29:06.889826,42.118.146.148,18.176.66.97,Poseidon,seanlopez@green-bullock.com,pty curl,"PID 10472, Callback 96",Failed,Attempting to use cURL,Deborah Hunter,,,
2969,2024-04-20 20:02:50,2024-04-20 20:02:50.272867,42.118.146.148,157.2.65.239,Cobalt Strike,johngross@jones.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Richard Mcbride,,,
2970,2024-05-24 22:51:47,2024-05-24 22:51:47.391469,206.0.98.240,84.240.138.150,Cobalt Strike,jschmitt@martinez.com,pwd,PID 29413,Failed,Obtaining current working directory,Deborah Hunter,,,
2971,2024-04-01 17:50:48,2024-04-01 17:50:48.298564,163.193.224.188,18.176.66.97,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Failed,Conducting container discovery,Christy Green,,,
